,position
397,0.01986482625932836
398,0.01986485541044776
399,0.01986485541044776
400,0.01986485541044776
401,0.01986485541044776
402,0.01986482625932836
403,0.01986602145522388
404,0.01986893656716418
405,0.01987333838619403
406,0.01987931436567164
407,0.01988654384328358
408,0.019892170009328358
409,0.019896338619402987
410,0.019898903917910448
411,0.019899982509328357
412,0.019900040811567165
413,0.019900040811567165
414,0.019900040811567165
415,0.019900040811567165
416,0.019900040811567165
417,0.01990158582089552
418,0.019904850746268656
419,0.01990957322761194
420,0.01991581156716418
421,0.019922778684701492
422,0.01992820079291045
423,0.019932077891791043
424,0.019934439132462685
425,0.019935197061567163
426,0.019935197061567163
427,0.019935197061567163
428,0.019935197061567163
429,0.019935197061567163
430,0.019936246501865672
431,0.01993895755597015
432,0.019943213619402985
433,0.01994892723880597
434,0.019956098414179106
435,0.019961986940298507
436,0.01996630130597015
437,0.019969070662313432
438,0.01997032416044776
439,0.019970411613805972
440,0.019970411613805972
441,0.019970411613805972
442,0.019970411613805972
443,0.019970382462686568
444,0.019971840018656716
445,0.01997481343283582
446,0.019979448460820896
447,0.01998571595149254
448,0.019992653917910448
449,0.019998105177238806
450,0.02000224463619403
451,0.020004664179104476
452,0.020005538712686566
453,0.02000556786380597
454,0.02000556786380597
455,0.02000556786380597
456,0.020005655317164178
457,0.020007404384328357
458,0.020010611007462688
459,0.02001542094216418
460,0.020021717583955222
461,0.020028772154850747
462,0.020033961054104477
463,0.020037779850746267
464,0.0200400536380597
465,0.020040753264925375
466,0.020040753264925375
467,0.020040753264925375
468,0.020040753264925375
469,0.020040753264925375
470,0.02004180270522388
471,0.020044572061567165
472,0.020048944729477613
473,0.02005477495335821
474,0.020061683768656715
475,0.020067543143656715
476,0.020071915811567163
477,0.02007462686567164
478,0.02007588036380597
479,0.020075938666044776
480,0.020075938666044776
481,0.02007596781716418
482,0.02007596781716418
483,0.02007596781716418
484,0.020075938666044776
485,0.02007725046641791
486,0.020080194729477613
487,0.02008477145522388
488,0.020090747434701493
489,0.02009786030783582
490,0.020103573927238806
