,position
98,0.021928171641791044
99,0.021929454291044776
100,0.021929629197761195
101,0.021929658348880596
102,0.021929658348880596
103,0.0219296875
104,0.021930649486940297
105,0.021933214785447762
106,0.021937325093283583
107,0.02194306786380597
108,0.021950297341417912
109,0.021957876632462688
110,0.021963910914179104
111,0.021968400186567164
112,0.021971315298507463
113,0.02197265625
114,0.021972802005597016
115,0.021972802005597016
116,0.021972802005597016
117,0.021972802005597016
118,0.02197283115671642
119,0.021973763992537313
120,0.021976416744402986
121,0.021980672807835822
122,0.02198644472947761
123,0.021993790811567163
124,0.022001224347014927
125,0.02200720032649254
126,0.022011689598880595
127,0.02201457555970149
128,0.022015858208955224
129,0.022015974813432836
130,0.022015974813432836
131,0.022015974813432836
132,0.02201600396455224
133,0.022016965951492537
134,0.022019560401119402
135,0.022023787313432835
136,0.022029442630597015
137,0.022036788712686568
138,0.022044280550373135
139,0.02205031483208955
140,0.022054833255597015
141,0.022057690065298508
142,0.022059060167910448
143,0.022059205923507463
144,0.022059205923507463
145,0.022059205923507463
146,0.022059205923507463
147,0.022059235074626867
148,0.022060197061567165
149,0.022062849813432837
150,0.02206707672574627
151,0.022072819496268655
152,0.022080223880597015
153,0.022087657416044775
154,0.022093604244402987
155,0.022098064365671643
156,0.022100862873134328
157,0.02210214552238806
158,0.02210234958022388
159,0.02210234958022388
160,0.02210234958022388
161,0.02210234958022388
162,0.02210234958022388
163,0.02210339902052239
164,0.022105993470149254
165,0.02211007462686567
166,0.02211581739738806
167,0.022123105177238808
168,0.0221308302238806
169,0.022136543843283583
170,0.022141091417910447
171,0.022144035680970148
172,0.02214531833022388
173,0.0221454932369403
174,0.0221455223880597
175,0.0221455223880597
176,0.0221455223880597
177,0.022145551539179104
178,0.022146484375
179,0.022149078824626866
180,0.02215321828358209
181,0.02215899020522388
182,0.02216630713619403
183,0.022173857276119403
184,0.022179833255597015
185,0.022184264225746268
186,0.022187150186567164
187,0.022188549440298508
188,0.022188695195895523
189,0.022188695195895523
190,0.022188695195895523
191,0.022188724347014924
192,0.022189686333955225
193,0.022192339085820894
194,0.022196536847014926
195,0.02220225046641791
196,0.02220956739738806
197,0.022217146688432835
198,0.02222323927238806
199,0.022227553638059703
200,0.02223046875
201,0.02223183885261194
202,0.022231897154850747
203,0.022231926305970148
204,0.022231926305970148
205,0.022231926305970148
206,0.022231926305970148
207,0.022231926305970148
208,0.02223288829291045
209,0.022235541044776118
210,0.022239797108208954
211,0.022245452425373135
212,0.022252885960820895
213,0.022260406949626867
214,0.022266295475746267
215,0.022270668143656715
216,0.022273524953358208
217,0.022274865904850748
218,0.022275040811567164
219,0.022275040811567164
220,0.022275040811567164
221,0.022275069962686567
222,0.022276090251865673
223,0.02227871385261194
224,0.022282882462686567
225,0.022288712686567163
226,0.022295738106343284
227,0.022303463152985075
228,0.02230946828358209
229,0.022313928404850747
230,0.02231669776119403
231,0.022318038712686568
232,0.022318213619402984
233,0.022318213619402984
234,0.022318213619402984
235,0.022318242770522388
236,0.02231923390858209
237,0.022321799207089554
238,0.022325938666044775
239,0.02233165228544776
240,0.02233905666977612
241,0.022346635960820895
242,0.022352495335820895
243,0.022357072061567163
244,0.022359928871268656
245,0.022361328125
246,0.022361386427238807
247,0.022361386427238807
248,0.022361415578358208
249,0.022361415578358208
250,0.022361415578358208
251,0.022361415578358208
252,0.022362465018656717
253,0.022365088619402985
254,0.022369198927238806
255,0.02237508745335821
256,0.022382375233208955
257,0.02238995452425373
258,0.02239587220149254
259,0.022400332322761195
260,0.022403189132462687
261,0.022404442630597016
262,0.02240461753731343
263,0.02240461753731343
264,0.02240461753731343
265,0.02240461753731343
266,0.022405637826492537
267,0.022408232276119402
268,0.02241240088619403
269,0.02241796875
270,0.022425343983208956
271,0.022432864972014924
272,0.022438928404850747
273,0.022443446828358207
274,0.022446361940298507
275,0.022447586287313432
276,0.022447732042910448
277,0.022447732042910448
278,0.02244776119402985
279,0.02244776119402985
280,0.02244776119402985
281,0.02244776119402985
282,0.02244776119402985
283,0.022448752332089553
284,0.02245137593283582
285,0.02245557369402985
286,0.02246143306902985
287,0.02246866254664179
288,0.022476241837686567
289,0.02248221781716418
290,0.022486677938432835
291,0.022489505597014927
292,0.02249081739738806
293,0.02249099230410448
294,0.02249099230410448
295,0.02249099230410448
296,0.02249099230410448
297,0.02249099230410448
298,0.022491954291044777
299,0.022494577891791045
300,0.02249871735074627
301,0.022504518423507463
302,0.02251171875
303,0.022519414645522387
304,0.022525390625
305,0.022529821595149255
306,0.022532678404850747
307,0.02253399020522388
308,0.02253410680970149
309,0.02253410680970149
310,0.022534135960820895
311,0.022534135960820895
312,0.022534135960820895
313,0.022534135960820895
314,0.022534135960820895
315,0.022535214552238805
316,0.022537750699626866
317,0.022541919309701494
318,0.022547720382462687
319,0.02255500816231343
320,0.02256258745335821
321,0.022568680037313434
322,0.02257296525186567
323,0.022575822061567163
324,0.022577192164179104
325,0.022577308768656715
326,0.022577308768656715
327,0.02257733791977612
328,0.02257733791977612
329,0.02257733791977612
330,0.02257733791977612
331,0.022578299906716417
332,0.022580981809701493
333,0.022585121268656718
334,0.022590980643656715
335,0.022598093516791044
336,0.02260576026119403
337,0.022611852845149254
338,0.02261599230410448
339,0.02261893656716418
340,0.022620394123134328
341,0.022620539878731343
342,0.022620539878731343
343,0.022620539878731343
344,0.022620539878731343
345,0.02262156016791045
346,0.02262421291977612
347,0.022628498134328358
348,0.02263418260261194
349,0.02264149953358209
350,0.02264902052238806
351,0.022655025652985075
